pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
,"Circular Threaded Inline Connector Socket, 4-Pole, 7-12mm, IP68 30 Amp, PRO ELEC - PELR0165 ",2,£4.14,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2110-s4ii-1c/circular-socket-4-pole-7-12mm/dp/CN21358,
,"Circular Threaded Connector Inline Socket, 4-Pole, 7-12mm, IP68  30 Amp, PRO ELEC - PELR0179 ",2,£4.48,,,,Y,,CPC,https://cpc.farnell.com/mbs-connect/sp2111-s4ii-1c/circular-in-line-socket-4-p-7/dp/CN21372,
,,,,,,,,,,,
,,,,,,,,,,,
*,Wago 207-3306 Plastic Enclosure,2,£10,,,,,,Fusebox.shop,https://www.fusebox.shop/products/wago-207-3306-plastic-enclosure,
*,"Transducer, 5 VDC to 25 VDC, 100 dB, Sounder, 25 mA, Panel Mount, IP54MULTICOMP PRO",1,£9.47,,,,,,Farnell,https://uk.farnell.com/multicomp/mcabi-047-rc/sounder-ip54-100db-5-25vdc-panel/dp/2433030,
*,"Transducer, Magnetic, 3 VDC, 80 mA, 97 dB, 2.73 kHzKINGSTATE",1,£1.54,,,,,,Farnell,https://uk.farnell.com/kingstate/kssgj4b20/magnetic-transducer-smd-type/dp/1502710,
*,"RS PRO 102dB Panel Mount Continuous Internal Piezo Buzzer, 41.8 (Dia.) x 22mm, 3V dc Min, 16V dc MaxRS Stock No.:754-2015",1,£6.79,,,,,,Rsonline,https://uk.rs-online.com/web/p/piezo-buzzers/7542015,
*,"RS PRO 97dB SMD External Magnetic Buzzer Component, 8.5 x 8.5 x 3.2mm, 3V Min, 5V Max RS Stock No. 754-2065 Brand RS PRO ",1,£2.884,,,,,,Rsonline,https://uk.rs-online.com/web/p/products/7542065/,
*,"Sunon Axial Fan, 12 V dc, dc Operation, 8.2cfm, 1.14W, 95mA Max, 40 x 40 x 10mm RS Stock No. 283-5832 Brand Sunon Mfr. Part No. EE40101S1-1000U-999 ",1,£3.16,,,,,,Rsonline,https://uk.rs-online.com/web/p/axial-fans/2835832,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Heschen Square Inductive Proximity Sensor Switch Non-Shield Type SN04-N2 Detector Distance 5mm 10-30VDC 200mA NPN Normally Closed(NC) 3 Wire,2,,4.79,,,Y,,Amazon,,
,"Heschen Limit switch TZ-8112 Parallel Roller Plunger Enclosed NO + NC Momentary 380 VAC 10A, Amazon",2,,8.49,,,Y,,Amazon,,
,Youmile 60 pcs 2.54mm Pin Header male and female combination Pin Header 0.1 inch 40Pin Single Row Breakaway PCB Board Connector kit for Arduino circuit board DIY ,1,,£8.99,,,Y,,Amazon,,
,,,,,,,,,,,
,"Car Motorcycle Voltmeter DC 12V-24V LED Panel Digital Voltage Volt Meter Display, BLUE display.",1,,5.89,,,Y,,Ebay,https://www.ebay.co.uk/itm/285977674863,
,2Pc 12 Terminal Block Bus Bar & Cover 12V Distribution Bus Bar Auto Boat Power,,,£12.19,,,Y,,Ebay,https://www.ebay.co.uk/itm/375543641228,
,,,,,,,,,,,
,Flysky Paladin PL18 2.4G 18CH RC Transmitter+FTr10 FTr16S Receiver Set HVGA B7D5,1,,284.99,,,N,,Ebay,,
*,"Heatsink cooling aluminium TO220 with silicon pad, screw and bushing",3,,£2.39,,,N,,Ebay,https://www.ebay.co.uk/itm/175030964274,
,,,,,,,,,,,
,,,,,,,,,,,
